ipc_id,ipc_code,is_green,ipc_description
212,A23G1/00,False,
213,A23G1/40,False,
214,A23L33/20,False,
215,A01H5/08,False,
216,C12N5/00,False,
217,C07D311/62,False,
218,C12N5/02,False,
219,A23G1/02,False,
220,A23G3/48,False,
221,C07D313/08,False,
222,A23G1/30,False,
223,A61P35/00,False,
224,A61P35/02,False,
225,A61P9/12,False,
226,C12P17/06,False,
227,A01H1/04,False,
228,A01H5/10,False,
229,A01H6/60,False,
230,C12Q1/6827,False,
231,A01H5/00,False,
232,C12N15/09,False,
233,C12N15/63,False,
234,C12N15/87,False,
235,C12N5/10,True,from genetically engineered organisms
236,C12N,False,
237,A61K36/31,False,
238,A61K36/88,False,
239,A61K47/44,False,
240,A01H5/12,False,
241,C05G3/60,False,
242,C05G3/80,False,
243,C07D493/02,False,
244,A61K125/00,False,
245,A61K131/00,False,
246,A61K135/00,False,
247,A61K36/11,False,
248,A61K36/232,False,
249,A61K36/486,False,
250,A61K36/487,False,
251,A61K36/54,False,
252,A61K36/56,False,
253,A61K36/889,False,
254,A61K36/8892006,False,
255,A61K36/896,False,
256,A61K36/8962006,False,
257,A61P19/02,False,
258,A61P19/022006,False,
259,A23G1/34,False,
260,C05G3/00,False,
261,B01D15/00,False,
262,B01D53/04,True,separation of components
263,C12C12/04,False,
264,C11B9/02,False,
265,C12H3/00,False,
266,C12H3/04,False,
267,C12H6/02,False,
268,A61K6/04,False,
269,A61K6/884,False,
270,A61K31/715,False,
271,C12P19/04,False,
272,C12R1/91,False,
273,A61K9/51,False,
274,A61K7/46,False,
275,A61Q13/00,False,
276,A61K31/7076,False,
277,A61K45/06,False,
278,A61K36/14,False,
279,A61K36/23,False,
280,A61K36/536,False,
281,A61K36/63,False,
282,A61K36/73,False,
283,A61K36/886,False,
284,A61K36/898,False,
285,A61K47/10,False,
286,A61K35/06,False,
287,A61K36/738,False,
288,A23L33/15,False,
289,A23L33/16,False,
290,A61K8/02,False,
291,A61K8/04,False,
292,A61K8/11,False,
293,A61K8/19,False,
294,A61K8/63,False,
295,A61K8/67,False,
296,A61K8/9794,False,
297,A23L33/00,False,
298,A01N25/08,False,
299,A01N65/08,False,
300,A01N65/16,False,
301,A01P7/02,False,
302,A01N25/18,False,
303,A61K36/15,False,
304,A61K36/328,False,
305,A61K36/534,False,
306,A61K36/537,False,
307,A61K36/84,False,
308,A61K36/9068,False,
309,B29C45/00,False,
310,B29C48/00,False,
311,C08G63/08,False,
312,C08G63/183,False,
313,C08J3/12,False,
314,C08L97/00,False,
315,A01N65/24,False,
316,A61K9/10,False,
317,A61P1/02,False,
318,A61Q15/00,False,
319,A61K31/437,False,
320,A61P31/18,False,
321,C07D471/04,False,
322,A01G17/00,False,
323,A01G2/30,False,
324,B27K5/00,False,
325,B27K5/06,False,
326,B27M1/08,False,
327,F26B3/00,True,use of solar energy for drying materials or objects
328,A61L27/14,False,
329,A01G2/10,False,
330,A01G22/63,False,
331,A01H1/00,False,
332,A61K36/32,False,
333,A61P17/10,False,
334,A61P31/02,False,
335,A61K127/00,False,
336,A01G13/10,False,
337,A01M1/14,False,
338,A01M1/18,False,
339,A01M23/00,False,
340,C08K3/34,False,
341,C08L7/02,False,
342,C08L9/10,False,
343,C12N1/12,False,
344,C12N1/20,False,
345,C12R1/01,False,
346,C12R1/89,False,
347,NAN,False,
348,A61K31/40,False,
349,C07D315/00,False,
350,A61K31/35,False,
351,A61K31/70,False,
352,C07D309/10,False,
353,C07H17/04,False,
354,A01H6/10,False,
355,C09B19/00,False,
356,A61C8/00,False,
357,C22C14/00,False,
358,A61K36/24,False,
359,A61P33/06,False,
